location_id,process_id,date,poll,timezone,unit,source,value
2+26,station_day_mad,2018-11-24,pm25,Asia/Shanghai,µg/m3,mee,143.5154124773903
2+26,station_day_mad,2018-11-25,pm10,Asia/Shanghai,µg/m3,mee,271.93938467855907
2+26,station_day_mad,2018-11-25,pm25,Asia/Shanghai,µg/m3,mee,185.0884781040216
2+26,station_day_mad,2018-11-26,pm10,Asia/Shanghai,µg/m3,mee,340.9973304284421
2+26,station_day_mad,2018-11-26,pm25,Asia/Shanghai,µg/m3,mee,136.41774459331668
2+26,station_day_mad,2018-11-27,pm10,Asia/Shanghai,µg/m3,mee,322.1926289402481
2+26,station_day_mad,2018-11-27,pm25,Asia/Shanghai,µg/m3,mee,113.65509827756934
2+26,station_day_mad,2018-11-28,pm10,Asia/Shanghai,µg/m3,mee,260.2776632361671
2+26,station_day_mad,2018-11-28,pm25,Asia/Shanghai,µg/m3,mee,94.02462555471666
2+26,station_day_mad,2018-11-29,pm10,Asia/Shanghai,µg/m3,mee,272.113977007334
2+26,station_day_mad,2018-11-29,pm25,Asia/Shanghai,µg/m3,mee,119.17966822269092
2+26,station_day_mad,2018-11-30,pm10,Asia/Shanghai,µg/m3,mee,301.3815198133629
2+26,station_day_mad,2018-11-30,pm25,Asia/Shanghai,µg/m3,mee,162.53853416581998
2+26,station_day_mad,2018-12-01,pm10,Asia/Shanghai,µg/m3,mee,230.99029850438106
2+26,station_day_mad,2018-12-01,pm25,Asia/Shanghai,µg/m3,mee,156.80071884136123
2+26,station_day_mad,2018-12-02,pm10,Asia/Shanghai,µg/m3,mee,279.60861201574954
2+26,station_day_mad,2018-12-02,pm25,Asia/Shanghai,µg/m3,mee,105.63138510839119
2+26,station_day_mad,2018-12-03,pm10,Asia/Shanghai,µg/m3,mee,171.67249041102815
2+26,station_day_mad,2018-12-03,pm25,Asia/Shanghai,µg/m3,mee,44.53498559815022
2+26,station_day_mad,2018-12-04,pm10,Asia/Shanghai,µg/m3,mee,135.11514573820193
2+26,station_day_mad,2018-12-04,pm25,Asia/Shanghai,µg/m3,mee,54.55683028162174
2+26,station_day_mad,2018-12-05,pm10,Asia/Shanghai,µg/m3,mee,95.55767050417637
2+26,station_day_mad,2018-12-05,pm25,Asia/Shanghai,µg/m3,mee,46.044398670112514
2+26,station_day_mad,2018-12-06,pm10,Asia/Shanghai,µg/m3,mee,56.11443415350575
2+26,station_day_mad,2018-12-06,pm25,Asia/Shanghai,µg/m3,mee,21.931282470081854
2+26,station_day_mad,2018-12-07,pm10,Asia/Shanghai,µg/m3,mee,68.02388397090328
2+26,station_day_mad,2018-12-07,pm25,Asia/Shanghai,µg/m3,mee,31.442480024183954
2+26,station_day_mad,2018-12-08,pm10,Asia/Shanghai,µg/m3,mee,101.14861801902077
2+26,station_day_mad,2018-12-08,pm25,Asia/Shanghai,µg/m3,mee,55.60201397089416
