CityMEE,keyRegionZH,PM25_target,Heavy_Pollution_Target,target_period,base_period,CityZH,CityEN,Province,base_PM25,keyRegion2018,2019Q4,2019Q1
渭南市,汾渭平原,95,15,2021Q1,2019Q1,渭南,Weinan,Shaanxi,102.6666667,Fenwei,68,102.6666667
（韩城市）,汾渭平原,95,15,2021Q1,2019Q1,（韩城）,sub-city region,#N/A,#N/A,Fenwei,#N/A,#N/A
（杨凌示范区）,汾渭平原,98,14,2021Q1,2019Q1,（杨凌示范区）,sub-city region,#N/A,#N/A,Fenwei,#N/A,#N/A
上海市,长三角地区,,,2020Q4,2019Q4,上海,Shanghai,Shanghai,34.33333333,YRD,34.33333333,47
南京市,长三角地区,0,,2020Q4,2019Q4,南京,Nanjing,Jiangsu,40.66666667,YRD,40.66666667,62
无锡市,长三角地区,0,,2020Q4,2019Q4,无锡,Wuxi,Jiangsu,41.66666667,YRD,41.66666667,54.66666667
徐州市,长三角地区,63,,2020Q4,2019Q4,徐州,Xuzhou,Jiangsu,64,YRD,64,88.33333333
常州市,长三角地区,51,,2020Q4,2019Q4,常州,Changzhou,Jiangsu,52.33333333,YRD,52.33333333,66
苏州市,长三角地区,0,,2020Q4,2019Q4,苏州,Suzhou,Jiangsu,42.33333333,YRD,42.33333333,57.33333333
南通市,长三角地区,0,,2020Q4,2019Q4,南通,Nantong,Jiangsu,41.33333333,YRD,41.33333333,53.66666667
连云港市,长三角地区,46,,2020Q4,2019Q4,连云港,Lianyungang,Jiangsu,44.66666667,YRD,44.66666667,66.66666667
淮安市,长三角地区,55,,2020Q4,2019Q4,淮安,Huai'an,Jiangsu,56,YRD,56,65.66666667
盐城市,长三角地区,0,,2020Q4,2019Q4,盐城,Yancheng,Jiangsu,42,YRD,42,63.66666667
扬州市,长三角地区,0,,2020Q4,2019Q4,扬州,Yangzhou,Jiangsu,42.66666667,YRD,42.66666667,69
镇江市,长三角地区,47,,2020Q4,2019Q4,镇江,Zhenjiang,Jiangsu,47.33333333,YRD,47.33333333,67.33333333
